origin_date,scenario_id,target_variable,horizon,target_end_date,location,type,quantile,value
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.45,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.5,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.55,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.6,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.65,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.7,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.75,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.8,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.85,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.9,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.95,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.975,NA
13/03/2022,A-2022-02-25,inc death,36 wk,19/11/2022,PL,quantile,0.99,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,point,NA,5
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.01,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.025,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.05,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.1,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.15,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.2,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.25,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.3,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.35,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.4,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.45,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.5,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.55,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.6,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.65,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.7,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.75,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.8,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.85,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.9,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.95,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.975,NA
13/03/2022,A-2022-02-25,inc death,37 wk,26/11/2022,PL,quantile,0.99,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,point,NA,3
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.01,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.025,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.05,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.1,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.15,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.2,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.25,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.3,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.35,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.4,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.45,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.5,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.55,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.6,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.65,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.7,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.75,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.8,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.85,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.9,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.95,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.975,NA
13/03/2022,A-2022-02-25,inc death,38 wk,03/12/2022,PL,quantile,0.99,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,point,NA,0
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.01,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.025,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.05,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.1,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.15,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.2,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.25,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.3,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.35,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.4,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.45,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.5,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.55,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.6,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.65,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.7,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.75,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.8,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.85,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.9,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.95,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.975,NA
13/03/2022,A-2022-02-25,inc death,39 wk,10/12/2022,PL,quantile,0.99,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,point,NA,0
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.01,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.025,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.05,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.1,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.15,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.2,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.25,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.3,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.35,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.4,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.45,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.5,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.55,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.6,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.65,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.7,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.75,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.8,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.85,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.9,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.95,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.975,NA
13/03/2022,A-2022-02-25,inc death,40 wk,17/12/2022,PL,quantile,0.99,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,point,NA,0
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.01,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.025,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.05,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.1,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.15,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.2,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.25,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.3,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.35,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.4,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.45,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.5,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.55,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.6,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.65,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.7,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.75,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.8,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.85,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.9,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.95,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.975,NA
13/03/2022,A-2022-02-25,inc death,41 wk,24/12/2022,PL,quantile,0.99,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,point,NA,0
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.01,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.025,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.05,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.1,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.15,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.2,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.25,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.3,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.35,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.4,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.45,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.5,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.55,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.6,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.65,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.7,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.75,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.8,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.85,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.9,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.95,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.975,NA
13/03/2022,A-2022-02-25,inc death,42 wk,31/12/2022,PL,quantile,0.99,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,point,NA,615
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.01,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.025,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.05,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.1,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.15,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.2,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.25,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.3,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.35,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.4,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.45,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.5,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.55,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.6,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.65,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.7,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.75,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.8,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.85,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.9,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.95,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.975,NA
13/03/2022,B-2022-02-25,inc death,1 wk,19/03/2022,PL,quantile,0.99,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,point,NA,540
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.01,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.025,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.05,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.1,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.15,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.2,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.25,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.3,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.35,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.4,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.45,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.5,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.55,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.6,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.65,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.7,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.75,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.8,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.85,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.9,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.95,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.975,NA
13/03/2022,B-2022-02-25,inc death,2 wk,26/03/2022,PL,quantile,0.99,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,point,NA,477
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.01,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.025,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.05,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.1,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.15,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.2,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.25,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.3,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.35,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.4,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.45,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.5,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.55,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.6,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.65,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.7,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.75,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.8,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.85,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.9,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.95,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.975,NA
13/03/2022,B-2022-02-25,inc death,3 wk,02/04/2022,PL,quantile,0.99,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,point,NA,408
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.01,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.025,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.05,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.1,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.15,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.2,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.25,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.3,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.35,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.4,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.45,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.5,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.55,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.6,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.65,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.7,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.75,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.8,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.85,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.9,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.95,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.975,NA
13/03/2022,B-2022-02-25,inc death,4 wk,09/04/2022,PL,quantile,0.99,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,point,NA,345
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.01,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.025,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.05,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.1,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.15,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.2,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.25,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.3,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.35,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.4,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.45,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.5,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.55,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.6,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.65,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.7,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.75,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.8,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.85,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.9,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.95,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.975,NA
13/03/2022,B-2022-02-25,inc death,5 wk,16/04/2022,PL,quantile,0.99,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,point,NA,275
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.01,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.025,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.05,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.1,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.15,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.2,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.25,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.3,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.35,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.4,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.45,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.5,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.55,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.6,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.65,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.7,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.75,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.8,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.85,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.9,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.95,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.975,NA
13/03/2022,B-2022-02-25,inc death,6 wk,23/04/2022,PL,quantile,0.99,NA
13/03/2022,B-2022-02-25,inc death,7 wk,30/04/2022,PL,point,NA,230
13/03/2022,B-2022-02-25,inc death,7 wk,30/04/2022,PL,quantile,0.01,NA
13/03/2022,B-2022-02-25,inc death,7 wk,30/04/2022,PL,quantile,0.025,NA
