location,scenario_id,sample,horizon,target_variable,age_id,value
FR,A,1,1 wk,inc hosp,adult,44
FR,A,1,2 wk,inc hosp,adult,59
FR,A,1,3 wk,inc hosp,adult,45
FR,A,1,4 wk,inc hosp,adult,51
FR,A,1,5 wk,inc hosp,adult,49
FR,A,1,6 wk,inc hosp,adult,49
FR,A,1,7 wk,inc hosp,adult,49
FR,A,1,8 wk,inc hosp,adult,50
FR,A,1,9 wk,inc hosp,adult,36
FR,A,1,10 wk,inc hosp,adult,30
FR,A,1,11 wk,inc hosp,adult,35
FR,A,1,12 wk,inc hosp,adult,32
FR,A,1,13 wk,inc hosp,adult,27
FR,A,1,14 wk,inc hosp,adult,11
FR,A,1,15 wk,inc hosp,adult,20
FR,A,1,16 wk,inc hosp,adult,7
FR,A,1,17 wk,inc hosp,adult,10
FR,A,1,18 wk,inc hosp,adult,9
FR,A,1,19 wk,inc hosp,adult,9
FR,A,1,20 wk,inc hosp,adult,10
FR,A,1,21 wk,inc hosp,adult,1
FR,A,1,22 wk,inc hosp,adult,6
FR,A,1,23 wk,inc hosp,adult,3
FR,A,1,24 wk,inc hosp,adult,3
FR,A,1,25 wk,inc hosp,adult,4
FR,A,1,26 wk,inc hosp,adult,5
FR,A,1,27 wk,inc hosp,adult,4
FR,A,1,28 wk,inc hosp,adult,6
FR,A,1,29 wk,inc hosp,adult,8
FR,A,1,30 wk,inc hosp,adult,7
FR,A,1,31 wk,inc hosp,adult,10
FR,A,1,32 wk,inc hosp,adult,9
FR,A,1,33 wk,inc hosp,adult,4
FR,A,1,34 wk,inc hosp,adult,7
FR,A,1,35 wk,inc hosp,adult,10
FR,A,1,36 wk,inc hosp,adult,10
FR,A,1,37 wk,inc hosp,adult,7
FR,A,1,38 wk,inc hosp,adult,17
FR,A,1,39 wk,inc hosp,adult,13
FR,A,1,40 wk,inc hosp,adult,17
FR,A,1,41 wk,inc hosp,adult,12
FR,A,1,42 wk,inc hosp,adult,10
FR,A,1,43 wk,inc hosp,adult,15
FR,A,1,44 wk,inc hosp,adult,15
FR,A,1,45 wk,inc hosp,adult,17
FR,A,1,46 wk,inc hosp,adult,14
FR,A,1,47 wk,inc hosp,adult,21
FR,A,1,48 wk,inc hosp,adult,30
FR,A,1,49 wk,inc hosp,adult,36
FR,A,1,50 wk,inc hosp,adult,42
FR,A,1,51 wk,inc hosp,adult,38
FR,A,1,52 wk,inc hosp,adult,55
FR,A,1,53 wk,inc hosp,adult,9
FR,A,2,1 wk,inc hosp,adult,31
FR,A,2,2 wk,inc hosp,adult,35
FR,A,2,3 wk,inc hosp,adult,31
FR,A,2,4 wk,inc hosp,adult,58
FR,A,2,5 wk,inc hosp,adult,40
FR,A,2,6 wk,inc hosp,adult,42
FR,A,2,7 wk,inc hosp,adult,35
FR,A,2,8 wk,inc hosp,adult,37
FR,A,2,9 wk,inc hosp,adult,28
FR,A,2,10 wk,inc hosp,adult,18
FR,A,2,11 wk,inc hosp,adult,27
FR,A,2,12 wk,inc hosp,adult,13
FR,A,2,13 wk,inc hosp,adult,12
FR,A,2,14 wk,inc hosp,adult,20
FR,A,2,15 wk,inc hosp,adult,13
FR,A,2,16 wk,inc hosp,adult,7
FR,A,2,17 wk,inc hosp,adult,5
FR,A,2,18 wk,inc hosp,adult,5
FR,A,2,19 wk,inc hosp,adult,8
FR,A,2,20 wk,inc hosp,adult,3
FR,A,2,21 wk,inc hosp,adult,3
FR,A,2,22 wk,inc hosp,adult,2
FR,A,2,23 wk,inc hosp,adult,4
FR,A,2,24 wk,inc hosp,adult,2
FR,A,2,25 wk,inc hosp,adult,2
FR,A,2,26 wk,inc hosp,adult,4
FR,A,2,27 wk,inc hosp,adult,5
FR,A,2,28 wk,inc hosp,adult,5
FR,A,2,29 wk,inc hosp,adult,5
FR,A,2,30 wk,inc hosp,adult,5
FR,A,2,31 wk,inc hosp,adult,2
FR,A,2,32 wk,inc hosp,adult,8
FR,A,2,33 wk,inc hosp,adult,2
FR,A,2,34 wk,inc hosp,adult,2
FR,A,2,35 wk,inc hosp,adult,5
FR,A,2,36 wk,inc hosp,adult,2
FR,A,2,37 wk,inc hosp,adult,5
FR,A,2,38 wk,inc hosp,adult,8
FR,A,2,39 wk,inc hosp,adult,7
FR,A,2,40 wk,inc hosp,adult,7
FR,A,2,41 wk,inc hosp,adult,10
FR,A,2,42 wk,inc hosp,adult,12
FR,A,2,43 wk,inc hosp,adult,6
FR,A,2,44 wk,inc hosp,adult,13
FR,A,2,45 wk,inc hosp,adult,12
FR,A,2,46 wk,inc hosp,adult,14
FR,A,2,47 wk,inc hosp,adult,19
FR,A,2,48 wk,inc hosp,adult,22
FR,A,2,49 wk,inc hosp,adult,23
FR,A,2,50 wk,inc hosp,adult,25
FR,A,2,51 wk,inc hosp,adult,37
FR,A,2,52 wk,inc hosp,adult,38
FR,A,2,53 wk,inc hosp,adult,3
FR,A,3,1 wk,inc hosp,adult,38
FR,A,3,2 wk,inc hosp,adult,56
FR,A,3,3 wk,inc hosp,adult,58
FR,A,3,4 wk,inc hosp,adult,57
FR,A,3,5 wk,inc hosp,adult,40
FR,A,3,6 wk,inc hosp,adult,50
FR,A,3,7 wk,inc hosp,adult,48
FR,A,3,8 wk,inc hosp,adult,49
FR,A,3,9 wk,inc hosp,adult,32
FR,A,3,10 wk,inc hosp,adult,23
FR,A,3,11 wk,inc hosp,adult,22
FR,A,3,12 wk,inc hosp,adult,16
FR,A,3,13 wk,inc hosp,adult,19
FR,A,3,14 wk,inc hosp,adult,19
FR,A,3,15 wk,inc hosp,adult,13
FR,A,3,16 wk,inc hosp,adult,13
FR,A,3,17 wk,inc hosp,adult,12
FR,A,3,18 wk,inc hosp,adult,13
FR,A,3,19 wk,inc hosp,adult,15
FR,A,3,20 wk,inc hosp,adult,5
FR,A,3,21 wk,inc hosp,adult,5
FR,A,3,22 wk,inc hosp,adult,5
FR,A,3,23 wk,inc hosp,adult,6
FR,A,3,24 wk,inc hosp,adult,4
FR,A,3,25 wk,inc hosp,adult,1
FR,A,3,26 wk,inc hosp,adult,2
FR,A,3,27 wk,inc hosp,adult,8
FR,A,3,28 wk,inc hosp,adult,3
FR,A,3,29 wk,inc hosp,adult,2
FR,A,3,30 wk,inc hosp,adult,11
FR,A,3,31 wk,inc hosp,adult,2
FR,A,3,32 wk,inc hosp,adult,6
FR,A,3,33 wk,inc hosp,adult,13
FR,A,3,34 wk,inc hosp,adult,7
FR,A,3,35 wk,inc hosp,adult,6
FR,A,3,36 wk,inc hosp,adult,7
FR,A,3,37 wk,inc hosp,adult,11
FR,A,3,38 wk,inc hosp,adult,13
FR,A,3,39 wk,inc hosp,adult,10
FR,A,3,40 wk,inc hosp,adult,12
FR,A,3,41 wk,inc hosp,adult,8
FR,A,3,42 wk,inc hosp,adult,7
FR,A,3,43 wk,inc hosp,adult,17
FR,A,3,44 wk,inc hosp,adult,15
FR,A,3,45 wk,inc hosp,adult,18
FR,A,3,46 wk,inc hosp,adult,29
FR,A,3,47 wk,inc hosp,adult,21
FR,A,3,48 wk,inc hosp,adult,25
FR,A,3,49 wk,inc hosp,adult,29
FR,A,3,50 wk,inc hosp,adult,38
FR,A,3,51 wk,inc hosp,adult,36
FR,A,3,52 wk,inc hosp,adult,45
FR,A,3,53 wk,inc hosp,adult,4
FR,A,4,1 wk,inc hosp,adult,39
FR,A,4,2 wk,inc hosp,adult,28
FR,A,4,3 wk,inc hosp,adult,40
FR,A,4,4 wk,inc hosp,adult,29
FR,A,4,5 wk,inc hosp,adult,30
FR,A,4,6 wk,inc hosp,adult,33
FR,A,4,7 wk,inc hosp,adult,19
FR,A,4,8 wk,inc hosp,adult,21
FR,A,4,9 wk,inc hosp,adult,22
FR,A,4,10 wk,inc hosp,adult,17
FR,A,4,11 wk,inc hosp,adult,15
FR,A,4,12 wk,inc hosp,adult,16
FR,A,4,13 wk,inc hosp,adult,11
FR,A,4,14 wk,inc hosp,adult,5
FR,A,4,15 wk,inc hosp,adult,6
FR,A,4,16 wk,inc hosp,adult,6
FR,A,4,17 wk,inc hosp,adult,4
FR,A,4,18 wk,inc hosp,adult,4
FR,A,4,19 wk,inc hosp,adult,5
FR,A,4,20 wk,inc hosp,adult,1
FR,A,4,21 wk,inc hosp,adult,4
FR,A,4,22 wk,inc hosp,adult,3
FR,A,4,23 wk,inc hosp,adult,2
FR,A,4,24 wk,inc hosp,adult,1
FR,A,4,25 wk,inc hosp,adult,2
FR,A,4,26 wk,inc hosp,adult,1
FR,A,4,27 wk,inc hosp,adult,4
FR,A,4,28 wk,inc hosp,adult,3
FR,A,4,29 wk,inc hosp,adult,2
FR,A,4,30 wk,inc hosp,adult,3
FR,A,4,31 wk,inc hosp,adult,3
FR,A,4,32 wk,inc hosp,adult,2
FR,A,4,33 wk,inc hosp,adult,1
FR,A,4,34 wk,inc hosp,adult,5
FR,A,4,35 wk,inc hosp,adult,7
FR,A,4,36 wk,inc hosp,adult,2
FR,A,4,37 wk,inc hosp,adult,3
FR,A,4,38 wk,inc hosp,adult,4
FR,A,4,39 wk,inc hosp,adult,9
FR,A,4,40 wk,inc hosp,adult,7
FR,A,4,41 wk,inc hosp,adult,4
FR,A,4,42 wk,inc hosp,adult,9
FR,A,4,43 wk,inc hosp,adult,7
FR,A,4,44 wk,inc hosp,adult,17
FR,A,4,45 wk,inc hosp,adult,12
FR,A,4,46 wk,inc hosp,adult,13
FR,A,4,47 wk,inc hosp,adult,11
FR,A,4,48 wk,inc hosp,adult,20
FR,A,4,49 wk,inc hosp,adult,17
FR,A,4,50 wk,inc hosp,adult,17
FR,A,4,51 wk,inc hosp,adult,28
FR,A,4,52 wk,inc hosp,adult,34
FR,A,4,53 wk,inc hosp,adult,5
FR,A,5,1 wk,inc hosp,adult,51
FR,A,5,2 wk,inc hosp,adult,40
FR,A,5,3 wk,inc hosp,adult,55
FR,A,5,4 wk,inc hosp,adult,55
FR,A,5,5 wk,inc hosp,adult,47
FR,A,5,6 wk,inc hosp,adult,51
FR,A,5,7 wk,inc hosp,adult,33
FR,A,5,8 wk,inc hosp,adult,44
FR,A,5,9 wk,inc hosp,adult,43
FR,A,5,10 wk,inc hosp,adult,37
FR,A,5,11 wk,inc hosp,adult,21
FR,A,5,12 wk,inc hosp,adult,27
FR,A,5,13 wk,inc hosp,adult,24
FR,A,5,14 wk,inc hosp,adult,11
FR,A,5,15 wk,inc hosp,adult,11
FR,A,5,16 wk,inc hosp,adult,8
FR,A,5,17 wk,inc hosp,adult,13
FR,A,5,18 wk,inc hosp,adult,9
FR,A,5,19 wk,inc hosp,adult,7
FR,A,5,20 wk,inc hosp,adult,5
FR,A,5,21 wk,inc hosp,adult,5
FR,A,5,22 wk,inc hosp,adult,5
FR,A,5,23 wk,inc hosp,adult,6
FR,A,5,24 wk,inc hosp,adult,5
FR,A,5,25 wk,inc hosp,adult,4
FR,A,5,26 wk,inc hosp,adult,5
FR,A,5,27 wk,inc hosp,adult,6
FR,A,5,28 wk,inc hosp,adult,5
FR,A,5,29 wk,inc hosp,adult,0
FR,A,5,30 wk,inc hosp,adult,6
FR,A,5,31 wk,inc hosp,adult,8
FR,A,5,32 wk,inc hosp,adult,5
FR,A,5,33 wk,inc hosp,adult,12
FR,A,5,34 wk,inc hosp,adult,5
FR,A,5,35 wk,inc hosp,adult,8
FR,A,5,36 wk,inc hosp,adult,16
FR,A,5,37 wk,inc hosp,adult,12
FR,A,5,38 wk,inc hosp,adult,5
FR,A,5,39 wk,inc hosp,adult,5
FR,A,5,40 wk,inc hosp,adult,13
FR,A,5,41 wk,inc hosp,adult,19
FR,A,5,42 wk,inc hosp,adult,13
FR,A,5,43 wk,inc hosp,adult,14
FR,A,5,44 wk,inc hosp,adult,25
FR,A,5,45 wk,inc hosp,adult,18
FR,A,5,46 wk,inc hosp,adult,25
FR,A,5,47 wk,inc hosp,adult,28
FR,A,5,48 wk,inc hosp,adult,28
FR,A,5,49 wk,inc hosp,adult,39
FR,A,5,50 wk,inc hosp,adult,34
FR,A,5,51 wk,inc hosp,adult,57
FR,A,5,52 wk,inc hosp,adult,62
FR,A,5,53 wk,inc hosp,adult,7
FR,A,6,1 wk,inc hosp,adult,70
FR,A,6,2 wk,inc hosp,adult,93
FR,A,6,3 wk,inc hosp,adult,87
FR,A,6,4 wk,inc hosp,adult,81
FR,A,6,5 wk,inc hosp,adult,85
FR,A,6,6 wk,inc hosp,adult,70
FR,A,6,7 wk,inc hosp,adult,73
FR,A,6,8 wk,inc hosp,adult,63
FR,A,6,9 wk,inc hosp,adult,49
FR,A,6,10 wk,inc hosp,adult,37
FR,A,6,11 wk,inc hosp,adult,47
FR,A,6,12 wk,inc hosp,adult,32
FR,A,6,13 wk,inc hosp,adult,34
FR,A,6,14 wk,inc hosp,adult,27
FR,A,6,15 wk,inc hosp,adult,17
FR,A,6,16 wk,inc hosp,adult,9
FR,A,6,17 wk,inc hosp,adult,11
FR,A,6,18 wk,inc hosp,adult,9
FR,A,6,19 wk,inc hosp,adult,10
FR,A,6,20 wk,inc hosp,adult,9
FR,A,6,21 wk,inc hosp,adult,7
FR,A,6,22 wk,inc hosp,adult,8
FR,A,6,23 wk,inc hosp,adult,6
FR,A,6,24 wk,inc hosp,adult,4
FR,A,6,25 wk,inc hosp,adult,10
FR,A,6,26 wk,inc hosp,adult,8
FR,A,6,27 wk,inc hosp,adult,6
FR,A,6,28 wk,inc hosp,adult,5
FR,A,6,29 wk,inc hosp,adult,7
FR,A,6,30 wk,inc hosp,adult,8
FR,A,6,31 wk,inc hosp,adult,11
FR,A,6,32 wk,inc hosp,adult,8
FR,A,6,33 wk,inc hosp,adult,11
FR,A,6,34 wk,inc hosp,adult,10
FR,A,6,35 wk,inc hosp,adult,9
FR,A,6,36 wk,inc hosp,adult,10
FR,A,6,37 wk,inc hosp,adult,10
FR,A,6,38 wk,inc hosp,adult,10
FR,A,6,39 wk,inc hosp,adult,15
FR,A,6,40 wk,inc hosp,adult,9
FR,A,6,41 wk,inc hosp,adult,13
FR,A,6,42 wk,inc hosp,adult,17
FR,A,6,43 wk,inc hosp,adult,28
FR,A,6,44 wk,inc hosp,adult,27
FR,A,6,45 wk,inc hosp,adult,40
FR,A,6,46 wk,inc hosp,adult,30
FR,A,6,47 wk,inc hosp,adult,46
FR,A,6,48 wk,inc hosp,adult,42
FR,A,6,49 wk,inc hosp,adult,59
FR,A,6,50 wk,inc hosp,adult,85
FR,A,6,51 wk,inc hosp,adult,75
FR,A,6,52 wk,inc hosp,adult,92
FR,A,6,53 wk,inc hosp,adult,21
FR,A,7,1 wk,inc hosp,adult,59
FR,A,7,2 wk,inc hosp,adult,76
FR,A,7,3 wk,inc hosp,adult,86
FR,A,7,4 wk,inc hosp,adult,64
FR,A,7,5 wk,inc hosp,adult,77
FR,A,7,6 wk,inc hosp,adult,89
FR,A,7,7 wk,inc hosp,adult,60
FR,A,7,8 wk,inc hosp,adult,51
FR,A,7,9 wk,inc hosp,adult,44
FR,A,7,10 wk,inc hosp,adult,45
FR,A,7,11 wk,inc hosp,adult,45
FR,A,7,12 wk,inc hosp,adult,38
FR,A,7,13 wk,inc hosp,adult,23
FR,A,7,14 wk,inc hosp,adult,22
FR,A,7,15 wk,inc hosp,adult,17
FR,A,7,16 wk,inc hosp,adult,17
FR,A,7,17 wk,inc hosp,adult,11
FR,A,7,18 wk,inc hosp,adult,11
FR,A,7,19 wk,inc hosp,adult,8
FR,A,7,20 wk,inc hosp,adult,5
FR,A,7,21 wk,inc hosp,adult,8
FR,A,7,22 wk,inc hosp,adult,12
FR,A,7,23 wk,inc hosp,adult,14
FR,A,7,24 wk,inc hosp,adult,8
FR,A,7,25 wk,inc hosp,adult,9
FR,A,7,26 wk,inc hosp,adult,6
FR,A,7,27 wk,inc hosp,adult,7
FR,A,7,28 wk,inc hosp,adult,5
FR,A,7,29 wk,inc hosp,adult,8
FR,A,7,30 wk,inc hosp,adult,10
FR,A,7,31 wk,inc hosp,adult,11
FR,A,7,32 wk,inc hosp,adult,11
FR,A,7,33 wk,inc hosp,adult,10
FR,A,7,34 wk,inc hosp,adult,8
FR,A,7,35 wk,inc hosp,adult,13
FR,A,7,36 wk,inc hosp,adult,17
FR,A,7,37 wk,inc hosp,adult,10
FR,A,7,38 wk,inc hosp,adult,15
FR,A,7,39 wk,inc hosp,adult,16
FR,A,7,40 wk,inc hosp,adult,15
FR,A,7,41 wk,inc hosp,adult,18
FR,A,7,42 wk,inc hosp,adult,17
FR,A,7,43 wk,inc hosp,adult,18
FR,A,7,44 wk,inc hosp,adult,40
FR,A,7,45 wk,inc hosp,adult,43
FR,A,7,46 wk,inc hosp,adult,29
FR,A,7,47 wk,inc hosp,adult,40
FR,A,7,48 wk,inc hosp,adult,36
FR,A,7,49 wk,inc hosp,adult,55
FR,A,7,50 wk,inc hosp,adult,61
FR,A,7,51 wk,inc hosp,adult,50
FR,A,7,52 wk,inc hosp,adult,77
FR,A,7,53 wk,inc hosp,adult,9
FR,A,8,1 wk,inc hosp,adult,52
FR,A,8,2 wk,inc hosp,adult,46
FR,A,8,3 wk,inc hosp,adult,53
FR,A,8,4 wk,inc hosp,adult,59
FR,A,8,5 wk,inc hosp,adult,52
FR,A,8,6 wk,inc hosp,adult,53
FR,A,8,7 wk,inc hosp,adult,41
FR,A,8,8 wk,inc hosp,adult,45
FR,A,8,9 wk,inc hosp,adult,43
FR,A,8,10 wk,inc hosp,adult,31
FR,A,8,11 wk,inc hosp,adult,24
FR,A,8,12 wk,inc hosp,adult,30
FR,A,8,13 wk,inc hosp,adult,23
FR,A,8,14 wk,inc hosp,adult,16
FR,A,8,15 wk,inc hosp,adult,19
FR,A,8,16 wk,inc hosp,adult,12
FR,A,8,17 wk,inc hosp,adult,9
FR,A,8,18 wk,inc hosp,adult,14
FR,A,8,19 wk,inc hosp,adult,5
FR,A,8,20 wk,inc hosp,adult,7
FR,A,8,21 wk,inc hosp,adult,14
FR,A,8,22 wk,inc hosp,adult,6
FR,A,8,23 wk,inc hosp,adult,5
FR,A,8,24 wk,inc hosp,adult,4
FR,A,8,25 wk,inc hosp,adult,4
FR,A,8,26 wk,inc hosp,adult,11
FR,A,8,27 wk,inc hosp,adult,5
FR,A,8,28 wk,inc hosp,adult,3
FR,A,8,29 wk,inc hosp,adult,6
FR,A,8,30 wk,inc hosp,adult,5
FR,A,8,31 wk,inc hosp,adult,6
FR,A,8,32 wk,inc hosp,adult,5
FR,A,8,33 wk,inc hosp,adult,9
FR,A,8,34 wk,inc hosp,adult,9
FR,A,8,35 wk,inc hosp,adult,8
FR,A,8,36 wk,inc hosp,adult,11
FR,A,8,37 wk,inc hosp,adult,8
FR,A,8,38 wk,inc hosp,adult,6
FR,A,8,39 wk,inc hosp,adult,7
FR,A,8,40 wk,inc hosp,adult,10
FR,A,8,41 wk,inc hosp,adult,11
FR,A,8,42 wk,inc hosp,adult,12
FR,A,8,43 wk,inc hosp,adult,15
FR,A,8,44 wk,inc hosp,adult,18
FR,A,8,45 wk,inc hosp,adult,12
FR,A,8,46 wk,inc hosp,adult,21
FR,A,8,47 wk,inc hosp,adult,31
FR,A,8,48 wk,inc hosp,adult,26
FR,A,8,49 wk,inc hosp,adult,32
FR,A,8,50 wk,inc hosp,adult,42
FR,A,8,51 wk,inc hosp,adult,43
FR,A,8,52 wk,inc hosp,adult,46
FR,A,8,53 wk,inc hosp,adult,6
FR,A,9,1 wk,inc hosp,adult,80
FR,A,9,2 wk,inc hosp,adult,56
FR,A,9,3 wk,inc hosp,adult,68
FR,A,9,4 wk,inc hosp,adult,66
FR,A,9,5 wk,inc hosp,adult,69
FR,A,9,6 wk,inc hosp,adult,68
FR,A,9,7 wk,inc hosp,adult,52
FR,A,9,8 wk,inc hosp,adult,46
FR,A,9,9 wk,inc hosp,adult,33
FR,A,9,10 wk,inc hosp,adult,39
FR,A,9,11 wk,inc hosp,adult,21
FR,A,9,12 wk,inc hosp,adult,27
FR,A,9,13 wk,inc hosp,adult,23
FR,A,9,14 wk,inc hosp,adult,21
FR,A,9,15 wk,inc hosp,adult,10
FR,A,9,16 wk,inc hosp,adult,10
FR,A,9,17 wk,inc hosp,adult,10
FR,A,9,18 wk,inc hosp,adult,8
FR,A,9,19 wk,inc hosp,adult,6
FR,A,9,20 wk,inc hosp,adult,6
FR,A,9,21 wk,inc hosp,adult,6
FR,A,9,22 wk,inc hosp,adult,5
FR,A,9,23 wk,inc hosp,adult,5
FR,A,9,24 wk,inc hosp,adult,7
FR,A,9,25 wk,inc hosp,adult,9
FR,A,9,26 wk,inc hosp,adult,4
FR,A,9,27 wk,inc hosp,adult,4
FR,A,9,28 wk,inc hosp,adult,7
FR,A,9,29 wk,inc hosp,adult,9
FR,A,9,30 wk,inc hosp,adult,7
FR,A,9,31 wk,inc hosp,adult,8
FR,A,9,32 wk,inc hosp,adult,6
FR,A,9,33 wk,inc hosp,adult,9
FR,A,9,34 wk,inc hosp,adult,5
FR,A,9,35 wk,inc hosp,adult,12
FR,A,9,36 wk,inc hosp,adult,6
FR,A,9,37 wk,inc hosp,adult,8
FR,A,9,38 wk,inc hosp,adult,8
FR,A,9,39 wk,inc hosp,adult,16
FR,A,9,40 wk,inc hosp,adult,10
FR,A,9,41 wk,inc hosp,adult,15
FR,A,9,42 wk,inc hosp,adult,17
FR,A,9,43 wk,inc hosp,adult,22
FR,A,9,44 wk,inc hosp,adult,19
FR,A,9,45 wk,inc hosp,adult,21
FR,A,9,46 wk,inc hosp,adult,18
FR,A,9,47 wk,inc hosp,adult,25
FR,A,9,48 wk,inc hosp,adult,34
FR,A,9,49 wk,inc hosp,adult,45
FR,A,9,50 wk,inc hosp,adult,49
FR,A,9,51 wk,inc hosp,adult,41
FR,A,9,52 wk,inc hosp,adult,52
FR,A,9,53 wk,inc hosp,adult,7
FR,A,10,1 wk,inc hosp,adult,91
FR,A,10,2 wk,inc hosp,adult,71
FR,A,10,3 wk,inc hosp,adult,74
FR,A,10,4 wk,inc hosp,adult,65
FR,A,10,5 wk,inc hosp,adult,76
FR,A,10,6 wk,inc hosp,adult,70
FR,A,10,7 wk,inc hosp,adult,77
FR,A,10,8 wk,inc hosp,adult,59
FR,A,10,9 wk,inc hosp,adult,48
FR,A,10,10 wk,inc hosp,adult,42
FR,A,10,11 wk,inc hosp,adult,38
FR,A,10,12 wk,inc hosp,adult,30
FR,A,10,13 wk,inc hosp,adult,27
FR,A,10,14 wk,inc hosp,adult,19
FR,A,10,15 wk,inc hosp,adult,27
FR,A,10,16 wk,inc hosp,adult,18
FR,A,10,17 wk,inc hosp,adult,16
FR,A,10,18 wk,inc hosp,adult,18
FR,A,10,19 wk,inc hosp,adult,16
FR,A,10,20 wk,inc hosp,adult,10
FR,A,10,21 wk,inc hosp,adult,11
FR,A,10,22 wk,inc hosp,adult,10
FR,A,10,23 wk,inc hosp,adult,8
FR,A,10,24 wk,inc hosp,adult,6
FR,A,10,25 wk,inc hosp,adult,14
FR,A,10,26 wk,inc hosp,adult,10
FR,A,10,27 wk,inc hosp,adult,3
FR,A,10,28 wk,inc hosp,adult,2
FR,A,10,29 wk,inc hosp,adult,13
FR,A,10,30 wk,inc hosp,adult,7
FR,A,10,31 wk,inc hosp,adult,9
FR,A,10,32 wk,inc hosp,adult,11
FR,A,10,33 wk,inc hosp,adult,12
FR,A,10,34 wk,inc hosp,adult,13
FR,A,10,35 wk,inc hosp,adult,11
FR,A,10,36 wk,inc hosp,adult,9
FR,A,10,37 wk,inc hosp,adult,12
FR,A,10,38 wk,inc hosp,adult,13
FR,A,10,39 wk,inc hosp,adult,17
FR,A,10,40 wk,inc hosp,adult,31
FR,A,10,41 wk,inc hosp,adult,25
FR,A,10,42 wk,inc hosp,adult,29
FR,A,10,43 wk,inc hosp,adult,33
FR,A,10,44 wk,inc hosp,adult,28
FR,A,10,45 wk,inc hosp,adult,32
FR,A,10,46 wk,inc hosp,adult,39
FR,A,10,47 wk,inc hosp,adult,40
FR,A,10,48 wk,inc hosp,adult,60
FR,A,10,49 wk,inc hosp,adult,60
FR,A,10,50 wk,inc hosp,adult,79
FR,A,10,51 wk,inc hosp,adult,78
FR,A,10,52 wk,inc hosp,adult,85
FR,A,10,53 wk,inc hosp,adult,15
FR,A,1,1 wk,inc hosp,child,0
FR,A,1,2 wk,inc hosp,child,0
FR,A,1,3 wk,inc hosp,child,1
FR,A,1,4 wk,inc hosp,child,0
FR,A,1,5 wk,inc hosp,child,0
FR,A,1,6 wk,inc hosp,child,1
FR,A,1,7 wk,inc hosp,child,3
FR,A,1,8 wk,inc hosp,child,1
FR,A,1,9 wk,inc hosp,child,0
FR,A,1,10 wk,inc hosp,child,1
FR,A,1,11 wk,inc hosp,child,0
FR,A,1,12 wk,inc hosp,child,1
FR,A,1,13 wk,inc hosp,child,0
FR,A,1,14 wk,inc hosp,child,1
FR,A,1,15 wk,inc hosp,child,1
FR,A,1,16 wk,inc hosp,child,0
FR,A,1,17 wk,inc hosp,child,0
FR,A,1,18 wk,inc hosp,child,0
FR,A,1,19 wk,inc hosp,child,0
FR,A,1,20 wk,inc hosp,child,1
FR,A,1,21 wk,inc hosp,child,0
FR,A,1,22 wk,inc hosp,child,0
FR,A,1,23 wk,inc hosp,child,0
FR,A,1,24 wk,inc hosp,child,0
FR,A,1,25 wk,inc hosp,child,0
FR,A,1,26 wk,inc hosp,child,0
FR,A,1,27 wk,inc hosp,child,0
FR,A,1,28 wk,inc hosp,child,0
FR,A,1,29 wk,inc hosp,child,1
FR,A,1,30 wk,inc hosp,child,1
FR,A,1,31 wk,inc hosp,child,0
FR,A,1,32 wk,inc hosp,child,2
FR,A,1,33 wk,inc hosp,child,1
FR,A,1,34 wk,inc hosp,child,0
FR,A,1,35 wk,inc hosp,child,1
FR,A,1,36 wk,inc hosp,child,1
FR,A,1,37 wk,inc hosp,child,0
FR,A,1,38 wk,inc hosp,child,0
FR,A,1,39 wk,inc hosp,child,0
FR,A,1,40 wk,inc hosp,child,1
FR,A,1,41 wk,inc hosp,child,0
FR,A,1,42 wk,inc hosp,child,2
FR,A,1,43 wk,inc hosp,child,0
FR,A,1,44 wk,inc hosp,child,0
FR,A,1,45 wk,inc hosp,child,0
FR,A,1,46 wk,inc hosp,child,0
FR,A,1,47 wk,inc hosp,child,1
FR,A,1,48 wk,inc hosp,child,0
FR,A,1,49 wk,inc hosp,child,0
FR,A,1,50 wk,inc hosp,child,0
FR,A,1,51 wk,inc hosp,child,0
FR,A,1,52 wk,inc hosp,child,1
FR,A,1,53 wk,inc hosp,child,0
FR,A,2,1 wk,inc hosp,child,2
FR,A,2,2 wk,inc hosp,child,0
FR,A,2,3 wk,inc hosp,child,0
FR,A,2,4 wk,inc hosp,child,0
FR,A,2,5 wk,inc hosp,child,0
FR,A,2,6 wk,inc hosp,child,0
FR,A,2,7 wk,inc hosp,child,0
FR,A,2,8 wk,inc hosp,child,0
FR,A,2,9 wk,inc hosp,child,1
FR,A,2,10 wk,inc hosp,child,1
FR,A,2,11 wk,inc hosp,child,0
FR,A,2,12 wk,inc hosp,child,0
FR,A,2,13 wk,inc hosp,child,0
FR,A,2,14 wk,inc hosp,child,0
FR,A,2,15 wk,inc hosp,child,0
FR,A,2,16 wk,inc hosp,child,0
FR,A,2,17 wk,inc hosp,child,0
FR,A,2,18 wk,inc hosp,child,0
FR,A,2,19 wk,inc hosp,child,1
FR,A,2,20 wk,inc hosp,child,0
FR,A,2,21 wk,inc hosp,child,2
FR,A,2,22 wk,inc hosp,child,0
FR,A,2,23 wk,inc hosp,child,0
FR,A,2,24 wk,inc hosp,child,1
FR,A,2,25 wk,inc hosp,child,0
FR,A,2,26 wk,inc hosp,child,1
FR,A,2,27 wk,inc hosp,child,0
FR,A,2,28 wk,inc hosp,child,1
